Name,Dropdown Name,URL,Legacy/M2M,Type,Zone,Region,State,Methasoft Version
! Corporate Dashboard - 7143,https://www.methasoft-support.net/Methasoft.Net.CMG.Corporate.7143,https://www.methasoft-support.net/Methasoft.Net.CMG.Corporate.7143,Legacy,Dashboard,,,,7.1.4.3
! Corporate Dashboard - 7804,https://www.Methasoft-Support.net/Methasoft.net.CMG.Corporate,https://www.Methasoft-Support.net/Methasoft.net.CMG.Corporate,Legacy,Dashboard,,,,7.8.0.4
! Corporate Dashboard - 8130,! Corporate Dashboard - 8130,https://www.Methasoft-support.Net/Methasoft.Net.CMG.Corporate.8130,Legacy,Dashboard,,,,8.1.3.0
Akron - Legacy,Akron - Legacy,https://CMG-Akr.netalytics-cloud.com/Methasoft.Net.CMG.Akron,Legacy,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Akron - M2M,Akron - M2M,https://NS-Akr.netalytics-cloud.com/Methasoft.Net.NewSeason.Akron,M2M,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Albuquerque North - Legacy,Albuquerque North - Legacy,https://CMG-AlbuNorth.netalytics-cloud.com/Methasoft.Net.CMG.AlbuquerqueNorth,Legacy,Live,Coast to Coasties,West,New Mexico,8.1.3.0
Albuquerque North - M2M,Albuquerque North - M2M,https://NS-AlbuNorth.netalytics-cloud.com/Methasoft.Net.NewSeason.AlbuquerqueNorth,M2M,Live,Coast to Coasties,West,New Mexico,8.1.3.0
Atlanta - Legacy,Atlanta - Legacy,https://cmg-atl.netalytics-cloud.com/Methasoft.Net.CMG.Atlanta,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Atlanta - M2M,Atlanta - M2M,https://NS-atl.netalytics-cloud.com/Methasoft.Net.NewSeason.Atlanta,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Augusta - Legacy,Augusta - Legacy,https://cmg-aug.netalytics-cloud.com/Methasoft.Net.CMG.Augusta,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Augusta - M2M,Augusta - M2M,https://NS-aug.netalytics-cloud.com/Methasoft.Net.NewSeason.Augusta,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Bay Area - Legacy,Bay Area - Legacy,https://cmg-BayArea.netalytics-cloud.com/Methasoft.Net.CMG.BayArea,Legacy,Live,Coast to Coasties,Central Florida,Florida,8.1.3.0
Bay Area - M2M,Bay Area - M2M,https://NS-BayArea.netalytics-cloud.com/Methasoft.Net.NewSeason.BayArea,M2M,Live,Coast to Coasties,Central Florida,Florida,8.1.3.0
Biloxi - Legacy,Biloxi - Legacy,https://cmg-bil.netalytics-cloud.com/Methasoft.Net.CMG.Biloxi,Legacy,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
Biloxi - M2M,Biloxi - M2M,https://NS-bil.netalytics-cloud.com/Methasoft.Net.NewSeason.Biloxi,M2M,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
Birmingham - Legacy,Birmingham - Legacy,https://cmg-bir.netalytics-cloud.com/Methasoft.Net.CMG.Birmingham,Legacy,Live,Treatment Titans,South,Alabama,8.1.3.0
Birmingham - M2M,Birmingham - M2M,https://NS-bir.netalytics-cloud.com/Methasoft.Net.NewSeason.Birmingham,M2M,Live,Treatment Titans,South,Alabama,8.1.3.0
Bountiful - Legacy,Bountiful - Legacy,https://cmg-bount.netalytics-cloud.com/methasoft.net.CMG.Bountiful,Legacy,Live,Coast to Coasties,West,Utah,8.1.3.0
Bountiful - M2M,Bountiful - M2M,https://NS-bount.netalytics-cloud.com/methasoft.net.NewSeason.Bountiful,M2M,Live,Coast to Coasties,West,Utah,8.1.3.0
Bradenton - M2M,Bradenton - M2M,https://NS-Brad.netalytics-cloud.com/Methasoft.Net.NewSeason.Bradenton,M2M,Live,,,Florida,8.1.3.0
Brandon - Legacy,Brandon - Legacy,https://CMG-BR.netalytics-cloud.com/Methasoft.Net.CMG.Brandon,Legacy,Live,Coast to Coasties,,Florida,8.1.3.0
Brandon - M2M,Brandon - M2M,https://NS-BR.netalytics-cloud.com/Methasoft.Net.NewSeason.Brandon,M2M,Live,Coast to Coasties,,Florida,8.1.3.0
Broward - Legacy,Broward - Legacy,https://cmg-bro.netalytics-cloud.com/Methasoft.Net.CMG.Broward,Legacy,Live,Coast to Coasties,Mid Florida,Florida,8.1.3.0
Broward - M2M,Broward - M2M,https://NS-bro.netalytics-cloud.com/Methasoft.Net.NewSeason.Broward,M2M,Live,Coast to Coasties,Mid Florida,Florida,8.1.3.0
Cape Girardeau - Legacy,Cape Girardeau - Legacy,https://cmg-cap.netalytics-cloud.com/Methasoft.Net.CMG.CapeGiradeau,Legacy,Live,Coast to Coasties,Mid-West,Missouri,8.1.3.0
Cape Girardeau - M2M,Cape Girardeau - M2M,https://NS-cap.netalytics-cloud.com/Methasoft.Net.NewSeason.CapeGiradeau,M2M,Live,Coast to Coasties,Mid-West,Missouri,8.1.3.0
Central New Mexico - Legacy,Central New Mexico - Legacy,https://cmg-cnm.netalytics-cloud.com/methasoft.net.CMG.CentralNewMexico,Legacy,Live,Coast to Coasties,West,New Mexico,8.1.3.0
Central New Mexico - M2M,Central New Mexico - M2M,https://NS-cnm.netalytics-cloud.com/methasoft.net.NewSeason.CentralNewMexico,M2M,Live,Coast to Coasties,West,New Mexico,8.1.3.0
Charlotte - Legacy,Charlotte - Legacy,https://cmg-cha.netalytics-cloud.com/Methasoft.Net.CMG.Charlotte,Legacy,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Charlotte - M2M,Charlotte - M2M,https://NS-cha.netalytics-cloud.com/Methasoft.Net.NewSeason.Charlotte,M2M,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Columbia - Legacy,Columbia - Legacy,https://cmg-colu.netalytics-cloud.com/Methasoft.Net.CMG.Columbia,Legacy,Live,Treatment Titans,SouthEast,South Carolina,8.1.3.0
Columbia - M2M,Columbia - M2M,https://NS-colu.netalytics-cloud.com/Methasoft.Net.NewSeason.Columbia,M2M,Live,Treatment Titans,SouthEast,South Carolina,8.1.3.0
Columbus (Georgia) - Legacy,Columbus (Georgia) - Legacy,https://cmg-col.netalytics-cloud.com/Methasoft.Net.CMG.Columbus,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Columbus (Georgia) - M2M,Columbus (Georgia) - M2M,https://NS-col.netalytics-cloud.com/Methasoft.Net.NewSeason.Columbus,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Columbus West (Ohio) - Legacy,Columbus West (Ohio) - Legacy,https://cmg-coluw.netalytics-cloud.com/Methasoft.NET.CMG.ColumbusWest,Legacy,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Columbus West (Ohio) - M2M,Columbus West (Ohio) - M2M,https://NS-coluw.netalytics-cloud.com/Methasoft.NET.NewSeason.ColumbusWest,M2M,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Concord - Legacy,Concord - Legacy,https://cmg-con.netalytics-cloud.com/Methasoft.Net.CMG.Concord,Legacy,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Concord - M2M,Concord - M2M,https://NS-con.netalytics-cloud.com/Methasoft.Net.NewSeason.Concord,M2M,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Covington - Legacy,Covington - Legacy,https://cmg-cov.netalytics-cloud.com/Methasoft.Net.CMG.Covington,Legacy,Live,Coast to Coasties,Keystone,Kentucky,8.1.3.0
Covington - M2M,Covington - M2M,https://NS-cov.netalytics-cloud.com/Methasoft.Net.NewSeason.Covington,M2M,Live,Coast to Coasties,Keystone,Kentucky,8.1.3.0
Dakota - Legacy,Dakota - Legacy,https://cmg-dak.netalytics-cloud.com/Methasoft.Net.CMG.Dakota,Legacy,Live,Coast to Coasties,Mid-West,Minnesota,8.1.3.0
Dakota - M2M,Dakota - M2M,https://NS-dak.netalytics-cloud.com/Methasoft.Net.NewSeason.Dakota,M2M,Live,Coast to Coasties,Mid-West,Minnesota,8.1.3.0
Dallas - Legacy,Dallas - Legacy,https://cmg-dal.netalytics-cloud.com/Methasoft.Net.CMG.Dallas,Legacy,Live,Treatment Titans,Gulf,Texas,8.1.3.0
Dallas - M2M,Dallas - M2M,https://NS-dal.netalytics-cloud.com/Methasoft.Net.NewSeason.Dallas,M2M,Live,Treatment Titans,Gulf,Texas,8.1.3.0
Daytona - Legacy,Daytona - Legacy,https://cmg-day.netalytics-cloud.com/Methasoft.Net.CMG.Daytona,Legacy,Live,Coast to Coasties,Mid Florida,Florida,8.1.3.0
Daytona - M2M,Daytona - M2M,https://NS-day.netalytics-cloud.com/Methasoft.Net.NewSeason.Daytona,M2M,Live,Coast to Coasties,Mid Florida,Florida,8.1.3.0
Desoto (Walls) - Legacy,Desoto (Walls) - Legacy,https://cmg-deso.netalytics-cloud.com/Methasoft.Net.CMG.Desoto,Legacy,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
Desoto (Walls) - M2M,Desoto (Walls) - M2M,https://NS-deso.netalytics-cloud.com/Methasoft.Net.NewSeason.Desoto,M2M,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
Durham - Legacy,Durham - Legacy,https://cmg-dur.netalytics-cloud.com/Methasoft.Net.CMG.Durham,Legacy,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Durham - M2M,Durham - M2M,https://NS-dur.netalytics-cloud.com/Methasoft.Net.NewSeason.Durham,M2M,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Duval - Legacy,Duval - Legacy,https://cmg-duv.netalytics-cloud.com/Methasoft.Net.CMG.Duval,Legacy,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Duval - M2M,Duval - M2M,https://NS-duv.netalytics-cloud.com/Methasoft.Net.NewSeason.Duval,M2M,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Fayetteville - Legacy,Fayetteville - Legacy,https://cmg-fay.netalytics-cloud.com/Methasoft.Net.CMG.Fayetteville,Legacy,Live,Treatment Titans,Mid-Atlantic,North Carolina,8.1.3.0
Fayetteville - M2M,Fayetteville - M2M,https://NS-fay.netalytics-cloud.com/Methasoft.Net.NewSeason.Fayetteville,M2M,Live,Treatment Titans,Mid-Atlantic,North Carolina,8.1.3.0
Franklin - Legacy,Franklin - Legacy,https://cmg-fra.netalytics-cloud.com/Methasoft.Net.CMG.Franklin,Legacy,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Franklin - M2M,Franklin - M2M,https://NS-fra.netalytics-cloud.com/Methasoft.Net.NewSeason.Franklin,M2M,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Gastonia - Legacy,Gastonia - Legacy,https://cmg-gas.netalytics-cloud.com/Methasoft.Net.CMG.Gastonia,Legacy,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Gastonia - M2M,Gastonia - M2M,https://NS-gas.netalytics-cloud.com/Methasoft.Net.NewSeason.Gastonia,M2M,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Grand Junction - Legacy,Grand Junction - Legacy,https://cmg-grand.netalytics-cloud.com/methasoft.net.CMG.GrandJunction,Legacy,Live,Coast to Coasties,West,Colorado,8.1.3.0
Grand Junction - M2M,Grand Junction - M2M,https://NS-grand.netalytics-cloud.com/methasoft.net.NewSeason.GrandJunction,M2M,Live,Coast to Coasties,West,Colorado,8.1.3.0
Greensboro - Legacy,Greensboro - Legacy,https://cmg-grn.netalytics-cloud.com/Methasoft.Net.CMG.Greensboro,Legacy,Live,Treatment Titans,Mid-Atlantic,North Carolina,8.1.3.0
Greensboro - M2M,Greensboro - M2M,https://NS-grn.netalytics-cloud.com/Methasoft.Net.NewSeason.Greensboro,M2M,Live,Treatment Titans,Mid-Atlantic,North Carolina,8.1.3.0
Greenville - Legacy,Greenville - Legacy,https://cmg-gre.netalytics-cloud.com/Methasoft.Net.CMG.GreenvilleMetro,Legacy,Live,Treatment Titans,SouthEast,South Carolina,8.1.3.0
Greenville - M2M,Greenville - M2M,https://NS-gre.netalytics-cloud.com/Methasoft.Net.NewSeason.GreenvilleMetro,M2M,Live,Treatment Titans,SouthEast,South Carolina,8.1.3.0
Hagerstown - Legacy,Hagerstown - Legacy,https://cmg-hag.netalytics-cloud.com/Methasoft.Net.CMG.Hagerstown,Legacy,Live,Coast to Coasties,Keystone,Maryland,8.1.3.0
Hagerstown - M2M,Hagerstown - M2M,https://NS-hag.netalytics-cloud.com/Methasoft.Net.NewSeason.Hagerstown,M2M,Live,Coast to Coasties,Keystone,Maryland,8.1.3.0
Harrisonburg - Legacy,Harrisonburg - Legacy,https://cmg-har.netalytics-cloud.com/Methasoft.Net.CMG.Harrisonburg,Legacy,Live,Treatment Titans,Mid-Atlantic,Virginia,8.1.3.0
Harrisonburg - M2M,Harrisonburg - M2M,https://NS-har.netalytics-cloud.com/Methasoft.Net.NewSeason.Harrisonburg,M2M,Live,Treatment Titans,Mid-Atlantic,Virginia,8.1.3.0
Hickory - Legacy,Hickory - Legacy,https://cmg-hic.netalytics-cloud.com/Methasoft.Net.CMG.Hickory,Legacy,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Hickory - M2M,Hickory - M2M,https://NS-hic.netalytics-cloud.com/Methasoft.Net.NewSeason.Hickory,M2M,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Huntsville - Legacy,Huntsville - Legacy,https://cmg-hun.netalytics-cloud.com/Methasoft.Net.CMG.Huntsville,Legacy,Live,Treatment Titans,South,Alabama,8.1.3.0
Huntsville - M2M,Huntsville - M2M,https://NS-hun.netalytics-cloud.com/Methasoft.Net.NewSeason.Huntsville,M2M,Live,Treatment Titans,South,Alabama,8.1.3.0
Jacksonville - Legacy,Jacksonville - Legacy,https://cmg-jac.netalytics-cloud.com/Methasoft.Net.CMG.Jacksonville,Legacy,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Jacksonville - M2M,Jacksonville - M2M,https://NS-jac.netalytics-cloud.com/Methasoft.Net.NewSeason.Jacksonville,M2M,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Keene - Legacy,Keene - Legacy,https://cmg-kee.netalytics-cloud.com/Methasoft.Net.CMG.Keene,Legacy,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Keene - M2M,Keene - M2M,https://NS-kee.netalytics-cloud.com/Methasoft.Net.NewSeason.Keene,M2M,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Kissimmee (Mid Florida) - Legacy,Kissimmee (Mid Florida) - Legacy,https://cmg-kis.netalytics-cloud.com/Methasoft.Net.CMG.Kissimmee,Legacy,Live,Coast to Coasties,Mid Florida,Florida,8.1.3.0
Kissimmee (Mid Florida) - M2M,Kissimmee (Mid Florida) - M2M,https://NS-kis.netalytics-cloud.com/Methasoft.Net.NewSeason.MidFlorida,M2M,Live,Coast to Coasties,Mid Florida,Florida,8.1.3.0
Lee County - Legacy,Lee County - Legacy,https://cmg-lee.netalytics-cloud.com/Methasoft.Net.CMG.Lee,Legacy,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Lee County - M2M,Lee County - M2M,https://NS-lee.netalytics-cloud.com/Methasoft.Net.NewSeason.Lee,M2M,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Leesburg - M2M,Leesburg - M2M,https://NS-lees.netalytics-cloud.com/Methasoft.Net.NewSeason.Leesburg,M2M,Live,,,Florida,8.1.3.0
Leon County - Legacy,Leon County - Legacy,https://cmg-leo.netalytics-cloud.com/Methasoft.Net.CMG.LeonCounty,Legacy,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Leon County - M2M,Leon County - M2M,https://NS-leo.netalytics-cloud.com/Methasoft.Net.NewSeason.LeonCounty,M2M,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Manchester - Legacy,Manchester - Legacy,https://cmg-man.netalytics-cloud.com/Methasoft.Net.CMG.Manchester,Legacy,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Manchester - M2M,Manchester - M2M,https://NS-man.netalytics-cloud.com/Methasoft.Net.NewSeason.Manchester,M2M,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Manchester West - Legacy,Manchester West - Legacy,https://cmg-manw.netalytics-cloud.com/Methasoft.Net.CMG.ManchesterWest,Legacy,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Manchester West - M2M,Manchester West - M2M,https://NS-MANW.netalytics-cloud.com/Methasoft.Net.NewSeason.ManchesterWest,M2M,Live,Coast to Coasties,Northeast,New Hampshire,8.1.3.0
Mason (Cincinnati North) - Legacy,Mason (Cincinnati North) - Legacy,https://cmg-mas.netalytics-cloud.com/Methasoft.Net.CMG.Mason,Legacy,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Mason (Cincinnati North) - M2M,Mason (Cincinnati North) - M2M,https://NS-mas.netalytics-cloud.com/Methasoft.Net.NewSeason.Mason,M2M,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Mentor - Legacy,Mentor - Legacy,https://CMG-Men.netalytics-cloud.com/Methasoft.Net.CMG.Mentor,Legacy,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Mentor - M2M,Mentor - M2M,https://NS-Men.netalytics-cloud.com/Methasoft.Net.NewSeason.Mentor,M2M,Live,Coast to Coasties,Keystone,Ohio,8.1.3.0
Meridian - Legacy,Meridian - Legacy,https://cmg-mer.netalytics-cloud.com/Methasoft.Net.CMG.Meridian,Legacy,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
Meridian - M2M,Meridian - M2M,https://NS-mer.netalytics-cloud.com/Methasoft.Net.NewSeason.Meridian,M2M,Live,Treatment Titans,Gulf,Mississippi,8.1.3.0
Mobile - Legacy,Mobile - Legacy,https://cmg-mob.netalytics-cloud.com/Methasoft.Net.CMG.Mobile,Legacy,Live,Treatment Titans,South,Alabama,8.1.3.0
Mobile - M2M,Mobile - M2M,https://NS-mob.netalytics-cloud.com/Methasoft.Net.NewSeason.Mobile,M2M,Live,Treatment Titans,South,Alabama,8.1.3.0
Montgomery - Legacy,Montgomery - Legacy,https://cmg-Mon.netalytics-cloud.com/Methasoft.Net.CMG.Montgomery,Legacy,Live,Treatment Titans,South,Alabama,8.1.3.0
Montgomery - M2M,Montgomery - M2M,https://NS-mon.netalytics-cloud.com/Methasoft.Net.NewSeason.Montgomery,M2M,Live,Treatment Titans,South,Alabama,8.1.3.0
Morganton - Legacy,Morganton - Legacy,https://cmg-mor.netalytics-cloud.com/Methasoft.Net.CMG.Morganton,Legacy,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Morganton - M2M,Morganton - M2M,https://NS-mor.netalytics-cloud.com/Methasoft.Net.NewSeason.Morganton,M2M,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Naples - Legacy,Naples - Legacy,https://cmg-nap.netalytics-cloud.com/Methasoft.Net.CMG.Naples,Legacy,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Naples - M2M,Naples - M2M,https://NS-nap.netalytics-cloud.com/Methasoft.Net.NewSeason.Naples,M2M,Live,Treatment Titans,North Florida,Florida,8.1.3.0
